POD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Response ID,IP Address,Progress,Duration (in seconds),Finished,Location Latitude,Location Longitude,Consent,Online course material are likely to be accessible to me.,Videos my classmates share are likely to have captions.,Faculty use technology-based live polls during class to encourage classroom participation.,Image descriptions are likely to be available if I need them.,Faculty are likely to support individual differences and diverse perspectives in the classroom.,"Faculty are likely to work with me towards solving access challenges (e.g., assignment format, classroom activities, room arrangement).",I am likely to feel welcome while engaging in conversations with faculty.,I am likely to feel welcome while engaging in conversations with classmates.,Classmates are likely to support individual differences and diverse perspectives in the classroom.,"Classmates are likely to work with me towards solving access challenges (e.g., small-group discussions, group projects).",Faculty are likely to give me enough time to process information in class.Faculty are likely to give me enough time to process information in class.,Faculty are likely to provide slides or notes ahead of time.,"How likely are classmates to make an effort to communicate with you (e.g., making eye contact, waiting for the interpreter to finish, write back-and-forth)?",Faculty are likely to adapt their teaching strategies to accommodate my communication preferences.,Faculty are likely to engage in discussion of class content via email.,Faculty are likely to supplement lectures with slides and/or handouts.,Videos that are displayed around campus are likely to have captions.,Safety and emergency announcements are likely to be accessible to me.,"Classrooms are likely to be free of excess distracting noise (e.g., loud fans, echoes)",Campus housing is likely to have accessibility features such as flashing-light doorbells.,Campus fire alarms are likely to be accessible to me.,Classroom lighting is likely to be appropriate so I can easily see my instructor or interpreter.,The Disability Service Office is likely to consider my communication preferences when providing services.,"I am likely to be provided with consistent access providers (e.g., speech-to-text, interpreters).",The Disability Service Office is likely to provide dual-accommodations such as providing an interpreter and speech-to-text provider in the same class if I request it.,The Disability Service Office is likely to collect formal feedback from me about my service providers.,The Disability Service Office is likely to respond to my requests in a timely manner.,The Disability Service Office is likely to have a clear policy about what to do if I cannot make it to class.,My school is likely to provide accessible opportunities for networking.,My school is likely to host deaf-related events on campus.,I am likely to see a deaf faculty member on campus.,I am likely to have opportunities to connect with role models.,I am likely to have a deaf peer I can talk to that is supportive.,I am likely to become friends with my classmates.,I am likely to call campus home.,I am likely to participate in campus student activities.,I am likely to ask for help from my friends.,I am likely to ask for help from resources or offices on campus.,I identify my gender as: (select one),Would you describe yourself as transgender?,What year were you born?,Age,Were you born in the United States?,What year did you move to the United States?,AgeArriveUS,American Indian or Alaska Native,Asian,Black,Latinx,MiddleEastern,PacIslander,White,OtherRace,DescribeRace,Do not Identify w a disability,Sensory (visual),Sensory (hearing),Learning,Mobility,MentalHealth,MedCondition,A disability not listed,DisabiltyDescribe,Did you complete high school?,What year did you complete high school?,High school diploma,AltDiploma,GEDCert,OtherDiploma,OtherDiplomaDescribe,Deaf School (or school with all deaf students),Deaf program within a public school,Mainstreamed in a public school,Mainstreamed in a private school,HSOther,HSOtherDescribe,What year did you first attend a Deaf School? ,HS My classes were taught in sign language.,HS My classes were taught in English and I had an interpreter.,"HS My classes were taught in English and I had a speech-to-text provider (e.g., CART, C-Print, Typewell)",HS My classes were taught in English and I had no accommodations.,"HS Another method of instruction delivery, please describe","HS English, with minor accommodations",What school or training program are you currently attending?,Please describe your major or program,"Outside of high school, how many semesters have you been enrolled in your current school or training program?","Outside of high school, how many semesters have you been enrolled in any school or training program?",ACC most Interpreters,"ACC most Speech-to-Text (e.g., CART, C-Print, Typewell)",ACC most Note taking,"ACC most Assistive Listening Device (e.g., FM system, Roger pen, etc)",ACC most ,ACC most other,ACC most other describe,Receptive Language: listening/watching - Classroom lectures,Receptive Language: listening/watching - Small-group discussions,Receptive Language: listening/watching - One-on-one discussions with faculty,Receptive Language: listening/watching - Social interaction with peers,Expressive Language: sharing thoughts and ideas - Classroom lectures,Expressive Language: sharing thoughts and ideas - Small-group discussions,Expressive Language: sharing thoughts and ideas - One-on-one discussions with faculty,Expressive Language: sharing thoughts and ideas - Social interaction with peers,Institution Size,Institution Type,Community College,Accrediation,Interpreter Saturation,Zipcode,College Ranking,DA1,DA2,DA3,DA4,DA5,DA6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1exIekWKlFXf0ZJ,104.7.216.163,100,748,TRUE,30.33369446,-97.98239899,,Likely,Not Likely,Extremely likely,Not Likely,Likely,Somewhat Likely,Likely,Somewhat Likely,Likely,Somewhat Likely,Somewhat Likely,Somewhat Likely,Somewhat Likely,Not Likely,Not Likely,Likely,Not Likely,Not Likely,,Not Likely,Somewhat Likely,Likely,Likely,Likely,Not Likely,Not Likely,Likely,Extremely likely,Somewhat Likely,Not Likely,Not Likely,Somewhat Likely,Somewhat Likely,Not Likely,Somewhat Likely,Somewhat Likely,Somewhat Likely,Somewhat Likely,Female,No,1998,21,Yes,,,,,,,,,"White, European",,,,,Sensory (hearing),,,,,,Deaf,Yes,2017,High school diploma,,,,,Deaf School (or school with all deaf students),,,,,,2001,My classes were taught in sign language.,,,,,,Univ Texas Austin,Undeclared Science BA,39 hours,3,Interpreters,,Note taking,,Extended Test time,,,ASL,ASL,Speechreading,Speechreading,ASL,ASL,Spoken English,Spoken English,Large,Public,No,SACSCOC,125,78712,MC,,Sensory (hearing),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_s58aBBBZclnTWVj,174.222.154.176,100,973,TRUE,38.57620239,-121.487999,,Extremely likely,Likely,Somewhat Likely,Somewhat Likely,Likely,Extremely likely,Extremely likely,Likely,Likely,Extremely likely,Likely,Somewhat Likely,Extremely likely,Extremely likely,Likely,Extremely likely,Not Likely,Somewhat Likely,Likely,Somewhat Likely,Not Likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Somewhat Likely,Extremely likely,Extremely likely,Not Likely,Somewhat Likely,Somewhat Likely,Not Likely,Likely,Extremely likely,Likely,Not Likely,Likely,Nonbinary,No,1990,29,Yes,,,American Indian or Alaska Native,,,,,,"White, European",,Cherokee,,,Sensory (hearing),,,Mental Health,,,Deaf,Yes,2008,High school diploma,,,,,,,Mainstreamed in a public school,,,,,,My classes were taught in English and I had an interpreter.,,,,,Calif St Univ Sacramento,"BA in Psychology (graduated in 2017), currently in MSW program (Master?s degree in Social Work)",7,19,Interpreters,"Speech-to-Text (e.g., CART, C-Print, Typewell)",,,,,,Written/Text Communication,ASL,ASL,Written/Text Communication,ASL,ASL,Written/Text Communication,Written/Text Communication,Large,Public,No,WSCUC,155,95819,C,,Sensory (hearing),,,Mental Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_pufhK7pImb20kjT,76.89.206.42,100,2808,TRUE,33.70860291,-117.8701019,,Extremely likely,Likely,Not Likely,Not Likely,Not Likely,Likely,Not Likely,Somewhat Likely,Somewhat Likely,Extremely likely,Not Likely,Likely,Likely,Not Likely,Not Likely,Likely,Likely,Likely,Somewhat Likely,Extremely likely,Likely,Extremely likely,Likely,Extremely likely,Not Likely,Likely,Extremely likely,Not Likely,Somewhat Likely,Likely,Likely,Not Likely,Not Likely,Not Likely,Somewhat Likely,Likely,Not Likely,Somewhat Likely,Female,No,1988,31,Yes,,,,,,"Hispanic, Latinx, or Spanish Origin",,,,,Mexican-American,,,Sensory (hearing),,,,,A disability not listed,Scoliosis,Yes,2008,High school diploma,,,,,,Deaf program within a public school,,,,,,My classes were taught in sign language.,My classes were taught in English and I had an interpreter.,,,,,Rochester Institute Technology,BS in Anthropology & Sociology,Enrolled in a BS program for 6 semesters estimate,14 semesters,Interpreters,,Note taking,,,,,ASL,ASL,ASL,ASL,ASL,ASL,ASL,ASL,Medium,Private,No,MSCHE,220,14623,HC,,Sensory (hearing),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_ZrEqWB74LLKLNdL,47.184.147.196,100,1097,TRUE,32.95219421,-96.66539764,"Yes, I agree to participate.",Likely,Somewhat Likely,Somewhat Likely,Somewhat Likely,Likely,Likely,Likely,Likely,Likely,Likely,Somewhat Likely,Somewhat Likely,Likely,Likely,Likely,Likely,Not Likely,Somewhat Likely,Somewhat Likely,Likely,Somewhat Likely,Extremely likely,Extremely likely,Somewhat Likely,Extremely likely,Somewhat Likely,Extremely likely,Somewhat Likely,Likely,Not Likely,Not Likely,Likely,Somewhat Likely,Likely,Likely,Likely,Likely,Extremely likely,Female,No,1995,24,Yes,,,,,,,,,"White, European",,"Irish/Scottish, Italian, German, English",,,Sensory (hearing),,,,,,Hard of Hearing,Yes,2014,High school diploma,,,,,,,Mainstreamed in a public school,,,,,,,,,"Another method of instruction delivery, please describe","English, with minor accommodations",University of Texas at Dallas,Doctorate of Audiology,4,11,,"Speech-to-Text (e.g., CART, C-Print, Typewell)",,"Assistive Listening Device (e.g., FM system, Roger pen, etc)",,,,Spoken English,Spoken English,Spoken English,Spoken English,Spoken English,Spoken English,Spoken English,Spoken English,Large,Public,No,SACSCOC,58,75080,MC,,Sensory (hearing),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_3lWaASQiBdOCByc,155.41.184.25,100,2157,TRUE,42.34710693,-71.10269928,"Yes, I agree to participate.",Likely,Not Likely,Not Likely,Not Likely,Likely,Likely,Somewhat Likely,Not Likely,Somewhat Likely,Somewhat Likely,Not Likely,Somewhat Likely,Somewhat Likely,Somewhat Likely,Not Likely,Somewhat Likely,Somewhat Likely,Likely,Likely,Not Likely,Not Likely,Likely,Likely,Likely,Likely,Not Likely,Likely,Somewhat Likely,Not Likely,Not Likely,Not Likely,Not Likely,Not Likely,Somewhat Likely,Not Likely,Not Likely,Not Likely,Somewhat Likely,Female,No,1994,25,Yes,,,,,,,,,"White, European",,,,,Sensory (hearing),,,,,,Deaf,Yes,2012,High school diploma,,,,,Deaf School (or school with all deaf students),,,,,,2002,My classes were taught in sign language.,,,,,,Boston University,Master of Public Health,48,150,Interpreters,,,,,,,ASL,ASL,ASL,ASL,ASL,ASL,ASL,ASL,Large,Private,No,NECHE,220,2215,MC,,Sensory (hearing),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_3fNSUGtaIqL0byz,73.76.230.94,100,1790,TRUE,29.62229919,-95.26000214,,Not Likely,Somewhat Likely,Not Likely,Not Likely,Not Likely,Somewhat Likely,Somewhat Likely,Not Likely,Somewhat Likely,Not Likely,Not Likely,Somewhat Likely,Somewhat Likely,Likely,Somewhat Likely,Somewhat Likely,Not Likely,Extremely likely,,Not Likely,Not Likely,Somewhat Likely,Not Likely,Somewhat Likely,Not Likely,Somewhat Likely,Somewhat Likely,Somewhat Likely,Somewhat Likely,Likely,Likely,Somewhat Likely,Extremely likely,Not Likely,Not Likely,Not Likely,Somewhat Likely,Somewhat Likely,Female,No,1993,26,No,2000,7,,,"Black, African American",,,,,,Ethiopian,,,Sensory (hearing),,,,,,Deaf,Yes,2011,High school diploma,,,,,,,Mainstreamed in a public school,,,,,,My classes were taught in English and I had an interpreter.,,,,,Univ Houston Main Campus,BS in Liberal Studies,Four semesters,8 semesters,Interpreters,,Note taking,,Extended Test time,,,ASL,ASL,Written/Text Communication,Written/Text Communication,ASL,ASL,Written/Text Communication,Written/Text Communication,Large,Public,No,SACSCOC,62,77004,VC,,Sensory (hearing),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_31KlccS7IJCsSy9,134.231.167.178,100,5881,TRUE,38.90240479,-76.99009705,,Likely,Likely,Likely,Not Likely,Somewhat Likely,Likely,Likely,Somewhat Likely,Somewhat Likely,Not Likely,Likely,Likely,Likely,Likely,Likely,Likely,Extremely likely,Extremely likely,Somewhat Likely,Extremely likely,Not Likely,Likely,Likely,Not Likely,Likely,Likely,Extremely likely,,Likely,Likely,Likely,Likely,Likely,Somewhat Likely,Likely,Likely,Likely,Likely,Female,No,1979,40,No,1990,11,,Asian,,,,,,,Pakistan American,I do not identify with a disability,,,,,Mental Health,,,Anxiety disorder and depression,Yes,1999,High school diploma,,,,,,Deaf program within a public school,,           ,,,,My classes were taught in sign language.,,,,,,Gallaudet University,BSW of social work and still work on MSW,Two classes,Three or four classes,,,Note taking,,Extended Test time,,,ASL,ASL,ASL,ASL,ASL,ASL,ASL,ASL,Small,Private,No,MSCHE,615,20002,LC,,Sensory (hearing),,,Mental Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_2CqU0e5uC8qH3yi,68.194.242.13,100,551,TRUE,40.67050171,-73.89399719,,Not Likely,Not Likely,Likely,,Somewhat Likely,Somewhat Likely,Not Likely,Somewhat Likely,Likely,Not Likely,Not Likely,Not Likely,Somewhat Likely,Not Likely,Likely,Not Likely,Not Likely,Not Likely,Somewhat Likely,Somewhat Likely,Not Likely,Not Likely,Not Likely,Likely,Not Likely,Not Likely,Likely,Not Likely,Not Likely,Likely,Extremely likely,Not Likely,Not Likely,Somewhat Likely,Likely,Not Likely,Extremely likely,Somewhat Likely,Nonbinary,Yes,1997,22,Yes,,,,,,,,,"White, European",,,,,Sensory (hearing),"Learning  (e.g., ADHD, dyslexia)",,Mental Health,,,"Deaf, anxiety, depression, adhd",Yes,2015,High school diploma,,,,,,,,Mainstreamed in a private school,,,,,,,My classes were taught in English and I had no accommodations.,,,Univ Rochester,"ASL BA, psychology ba",5,7,Interpreters,,Note taking,"Assistive Listening Device (e.g., FM system, Roger pen, etc)",Extended Test time,,,"English-based system (e.g., SEE, MCE)",ASL,ASL,ASL,ASL,ASL,Speechreading & Spoken English,ASL,Medium,Private,No,MSCHE,220,14623,MC,,Sensory (hearing),"Learning  (e.g., ADHD, dyslexia)",,Mental Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_2Cqvic9Q13I1mYK,136.62.74.40,100,2920,TRUE,30.20629883,-97.79560089,,Somewhat Likely,Not Likely,Not Likely,Not Likely,Somewhat Likely,Likely,Somewhat Likely,Not Likely,Somewhat Likely,Likely,Not Likely,Likely,Somewhat Likely,Somewhat Likely,Somewhat Likely,Somewhat Likely,Not Likely,Not Likely,Not Likely,Not Likely,Extremely likely,Somewhat Likely,Likely,Extremely likely,Not Likely,Not Likely,Likely,Not Likely,Not Likely,Somewhat Likely,Not Likely,Not Likely,Not Likely,Not Likely,Not Likely,Not Likely,Somewhat Likely,Not Likely,Female,No,1989,30,Yes,,,,,,,,,"White, European",,,,,Sensory (hearing),,,,,,Deaf,Yes,2008,High school diploma,,,,,Deaf School (or school with all deaf students),,Mainstreamed in a public school,,,,2006,My classes were taught in sign language.,My classes were taught in English and I had an interpreter.,,,,,Univ Texas Austin,Masters of Architecture,7,9,Interpreters,,Note taking,,Extended Test time,,,ASL,ASL,ASL,ASL,ASL,ASL,ASL,ASL,Large,Public,No,SACSCOC,125,78712,MC,,Sensory (hearing),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1F3el0yTfl0S6Kn,107.77.226.106,100,510,TRUE,40.78160095,-73.95110321,"Yes, I agree to participate.",Extremely likely,Likely,Likely,Likely,Extremely likely,Likely,Likely,Likely,Likely,Likely,Likely,Likely,Likely,Likely,Likely,Extremely likely,Likely,Likely,Likely,Likely,Likely,Likely,Likely,Likely,Likely,Likely,Likely,Likely,Likely,Not Likely,Not Likely,Likely,Somewhat Likely,Likely,Likely,Likely,Likely,Likely,Female,No,1986,33,Yes,,,,,,,,,"White, European",,Italian American,,,,,,Mental Health,,,"Deaf, Anxiety, Depression",Yes,2004,High school diploma,,,,,,,Mainstreamed in a public school,,,,,,My classes were taught in English and I had an interpreter.,,,,,#N/A,Certificate in Integrative Nutrition Health Coach,1,18,,,,,,Other (please describe),Videos are captioned.,ASL,ASL,Spoken English,ASL,Spoken English,Spoken English,Spoken English,Spoken English,,,,#N/A,,,,,Sensory (hearing),,,Mental Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
